symbol,interval,strategy,params,risk,atr_mult,pnl,max_dd,trades,equity_end,cagr
BTCUSDT,4h,ema,"fast=10,slow=200",0.01,2.5,10363.64,2799.89,77,20363.64,21.4
BTCUSDT,2h,ema,"fast=10,slow=200",0.01,3.0,9669.14,2761.02,159,19669.14,20.26
BTCUSDT,1h,bollinger,"period=50,mult=3.0",0.005,2.0,8271.36,2005.57,394,18271.36,17.87
BTCUSDT,30m,ema,"fast=30,slow=200",0.005,3.0,3657.74,2770.0,493,13657.74,8.87
BTCUSDT,15m,rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,3.0,-191.43,211.18,22,9808.57,-0.53
ETHUSDT,4h,ema,"fast=20,slow=100",0.01,2.0,6018.69,2463.42,102,16018.69,13.71
ETHUSDT,2h,ema,"fast=30,slow=100",0.01,3.0,8412.52,2056.15,181,18412.52,18.11
ETHUSDT,1h,ema,"fast=50,slow=200",0.01,3.0,6147.62,2785.8,204,16147.62,13.96
ETHUSDT,30m,ema,"fast=10,slow=200",0.003,2.0,7794.76,2639.58,745,17794.76,17.02
ETHUSDT,15m,ema,"fast=50,slow=200",0.003,2.5,1680.84,2443.65,773,11680.84,4.33
BNBUSDT,4h,bollinger,"period=50,mult=2.0",0.01,2.5,5561.05,1820.56,131,15561.05,12.82
BNBUSDT,2h,ema,"fast=30,slow=50",0.01,2.0,9003.41,2586.45,231,19003.41,19.14
BNBUSDT,1h,ema,"fast=20,slow=200",0.005,2.5,5846.17,1789.81,268,15846.17,13.38
BNBUSDT,30m,ema,"fast=20,slow=200",0.003,3.0,1391.79,2194.09,593,11391.79,3.62
BNBUSDT,15m,rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.0,299.54,191.75,12,10299.54,0.81
