strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,3.0,23.94,36.42,12,10023.94,0.07
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.5,28.72,43.74,12,10028.72,0.08
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.0,35.88,54.76,12,10035.88,0.1
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,3.0,39.85,60.89,12,10039.85,0.11
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,2.5,47.79,73.17,12,10047.79,0.13
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,2.0,59.67,91.68,12,10059.67,0.16
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,3.0,79.43,122.7,12,10079.43,0.22
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.5,95.19,147.68,12,10095.19,0.26
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.0,118.74,185.44,12,10118.74,0.32
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,2.0,130.9,286.28,12,10130.9,0.36
bollinger,"period=50,mult=3.0",0.003,3.0,780.9,1402.07,752,10780.9,2.07
ema,"fast=30,slow=200",0.003,3.0,2287.33,1434.46,493,12287.33,5.78
ema,"fast=30,slow=200",0.005,3.0,3657.74,2770.0,493,13657.74,8.87
ema,"fast=30,slow=200",0.01,3.0,6175.31,7311.67,493,16175.31,14.01
